Period,Region,Nuclear,"Bituminous
coal","Anthracite
coal",Oil,LNG,Pumped-Storage,New&Renewable energy,,,,,,,,Others*,Total
,,,,,,,,"Fuel
Cell",IGCC,"Solar
Power","Wind
Power","Hydro
Power*","Marine
Energy*","Bio
Energy*","Waste
Energy",,
2019/09,Total,23250,36391.78200000001,600,3968.616,38203.56,4700,425.971,346.33,9090.380216,1421.6754,1795.9844,255.5,891.4009990000001,1067.711999,81.49,122490.402014
2019/08,Total,23250,36391.78200000001,600,3968.616,38203.56,4700,425.971,346.33,9048.112311,1421.6754,1795.9844,255.5,891.4009990000001,1592.9119990000002,81.49,122973.334109
2019/07,Total,21850,36391.78200000001,600,4068.616,38203.56,4700,375.811,346.33,8629.888151,1461.6754,1795.9844,255,791.4010000000001,1595.489,81.49,121147.02695099999
2019/06,Total,21850,36391.782,600,4068.616,38203.56,4700,375.8110000000001,346.33,8629.888151001418,1461.6754000000003,1795.9844,255,791.4009999999998,1595.4890000000005,81.49,121147.0269510014
2019/05,Total,21850,36391.777,600,4143.616,37834.386999999995,4700,344.5710000000001,346.33,7756.409119001302,1424.5854000000002,1793.4104000000002,255,713.6189999999999,1595.4890000000005,76.7,119825.8939190013
2019/04,Total,21850,36391.777,600,4143.616,37834.386999999995,4700,344.5710000000001,346.33,7756.409119001302,1424.5854000000002,1793.4104000000002,255,713.6189999999999,1595.4890000000005,76.7,119825.8939190013
2019/03,Total,21850,36391.777,600,4143.616,37834.386999999995,4700,344.5710000000001,346.33,7756.409119001302,1424.5854000000002,1793.4104000000002,255,713.6189999999999,1595.4890000000005,76.7,119825.8939190013
2019/02,Total,21850,36391.777,600,4318.616000000001,37834.387,4700,343.691,346.33,7285.45197,1424.5304,1793.4104000000002,255,537.579,1592.8890000000001,76.7,119350.36176999999
2019/01,Total,21850,36391.777,600,4318.616000000001,37834.387,4700,343.691,346.33,7285.45197,1424.5304,1793.4104000000002,255,537.579,1592.8890000000001,76.7,119350.36176999999
2018/12,Total,21850,36298.737,600,4318.616000000001,37834.387,4700,343.691,346.33,7129.858867999999,1420.3304,1790.4104000000002,255,537.659,1589.939,76.7,119091.658668
2018/11,Total,21850,36298.737,600,4318.616000000001,37834.387,4700,324.955,346.33,6327.410004,1420.3304,1789.8654000000001,255,536.271,1587.189,76.7,118265.790804
2018/10,Total,21850,36298.737,600,4318.616000000001,37834.387,4700,295.16499999999996,346.33,6237.6632740000005,1282.7304,1789.8654000000001,255,536.271,1574.539,76.7,117996.004074
2018/09,Total,21850,36298.737,600,4318.616000000001,37834.387,4700,295.16499999999996,346.33,6237.6632740000005,1282.7304,1789.8654000000001,255,536.271,1574.539,76.7,117996.004074
2018/08,Total,21850,36298.737,600,4318.616000000001,37834.387,4700,295.16499999999996,346.33,6237.6632740000005,1282.7304,1789.6654,255,536.271,1574.539,76.7,117995.804074
2018/07,Total,21850,36298.737,600,4241.193,37834.387,4700,295.06,346.33,5799.4387879999995,1282.7223999999999,1789.6654,255.11,536.271,1570.9289999999999,76.7,117476.543588
2018/06,Total,21850,36205.702000000005,600,4241.193,37834.387,4700,278.34000000000003,346.33,5652.675976,1266.2223999999999,1789.6654,255.11,536.1519999999999,1570.9289999999999,78.42,117205.126776
2018/05,Total,22528.683,36205.702000000005,600,4147.47,37834.387,4700,278.34000000000003,346.33,5652.675976,1266.2223999999999,1789.6654,255.11,536.1519999999999,1570.9289999999999,78.42,117790.086776
2018/04,Total,22528.683,36037.802,600,4147.47,37352.697,4700,252.62,346.33,5281.807068,1266.2223999999999,1789.5744000000002,255.11,536.112,1570.9289999999999,81.51,116746.86686800001
2018/03,Total,22528.683,36037.802,600,4147.47,37352.697,4700,252.62,346.33,5281.807068,1266.2223999999999,1789.5744000000002,255.11,536.112,1570.9289999999999,81.51,116746.86686800001
2018/02,Total,22528.683,36097.802,600,4150.57,37352.697,4700,246.9,346.33,5062.308963,1214.8224,1789.4560000000001,255.11,494.42199999999997,1567.029,21.51,116427.64036299998
2018/01,Total,22528.683,36097.802,600,4150.57,37352.697,4700,246.9,346.33,5062.308963,1214.8224,1789.4560000000001,255.11,494.42199999999997,1567.029,21.51,116427.64036299998
2017/12,Total,22528.683,36097.802,600,4150.57,37832.697,4700,246.9,346.33,5062.308963,1214.8224,1789.4560000000001,255.11,494.42199999999997,1567.029,21.51,116907.64036299998
2016/12,Total,23115.683,30898.424,1125,4140.54,32602.101,4700,214.82000000000002,346.33,3716.318274,1051.0064,1785.211,255.11,353.258,1561.7549999999999,0,105865.55667399999
2015/12,Total,21715.683,26201.91,1125,4242.589999999999,32243.501,4700,171.4,0,2537.5578370000003,834.4154000000001,1770.709,255,244.89200000000002,1606.102,0,97648.76023700001
2014/12,Total,20715.683,25910.51,1125,4254.99,30268.690000000002,4700,161.4,0,1791.182976,603.9724,1766.936,255,137.48,1524.91,0,93215.754376
2013/12,Total,20715.683,24110.51,1125,5254.99,25789.59,4700,126.66,0,1079.8466560000002,554.593,1754.4620000000002,255,126.68,1375.9219999999998,0,86968.936656
2012/12,Total,20715.683,24003.109999999997,1125,5292.64,21885.063000000002,4700,56.1,0,690.2725340000001,476.743,1746.03,255,93.369,766.565,0,81805.57553399999
