Datetime,timestamp,zone_name,"Anthracite
coal",Bio Energy,"Bituminous
coal",Fuel Cell,Hydro Power,IGCC,LNG,Marine Energy,Nuclear,Oil,Others*,Pumped-Storage,Solar Power,Waste Energy,Wind Power
2019-10-30 03:00:00,1572404400,KR,450.22175586890154,670.7981918661515,27307.286688493536,335.4203716103641,1347.7326716470259,259.87550118349253,29395.28598494365,191.72130912824178,23250.0,2903.299932274142,891.6737032479781,3526.7370876397363,0.0,0.0,1116.364246016002
2019-10-30 04:00:00,1572408000,KR,443.61579331100586,660.9557804730816,26906.615439113833,330.49885374249203,1327.9578130336952,256.06242949569867,28963.978177038156,188.90824251575071,23250.0,2860.700723335585,878.5904547804573,3474.990380936219,0.0,0.0,1099.9841837155418
2019-10-30 05:00:00,1572411600,KR,448.69730297092536,668.526866160058,27214.824092482828,334.2846367177782,1343.1692427362566,258.9955615632325,29295.75341388853,191.07213990997462,23250.0,2893.469345596013,888.6544920631649,3514.795539938922,0.0,0.0,1112.5842316389726
2019-10-30 06:00:00,1572415200,KR,473.76608395986375,705.8775555491447,28735.320115769908,352.9611660625239,1418.2122959355654,273.4656797630658,30932.511249017072,201.7473670548128,23250.0,3055.127882080804,938.3037426578611,3711.1676576856057,0.0,0.0,1174.7444680612334
2019-10-30 07:00:00,1572418800,KR,468.44886966068174,697.9552868200991,28412.815275967816,348.9997804277461,1402.2952876174622,270.3964950493393,30585.346695260607,199.48309778513456,23250.0,3020.8392949268837,927.7728873553128,3669.5161456753485,7420.973783082936,0.0,1161.5599698564415
2019-10-30 08:00:00,1572422400,KR,513.8519035243237,765.6025575793492,31166.64413048205,382.8255613729368,1538.208648827275,296.6038829126676,33549.741790806496,218.81741243621497,23250.0,3313.6252907678663,1017.6945555469215,4025.1732442738767,8140.229919229811,0.0,1274.1407658870598
2019-10-30 09:00:00,1572426000,KR,567.0777574117682,844.905270259956,34394.950253848394,422.47943295395436,1697.5395148401299,327.32673287406914,37024.89414943631,241.48297724677215,23250.0,3656.857522378745,1123.1094841364077,4442.109099725525,8983.411943699282,0.0,1406.1189288013306
2019-10-30 10:00:00,1572429600,KR,571.5260276213819,851.5328744897479,34664.75105378391,425.7934452762874,1710.855350904605,329.8943485768953,37315.324750013424,243.37721753353335,23250.0,3685.5426368361395,1131.9193773038292,4476.953883034165,9053.879605686647,0.0,1417.1488040881145
2019-10-30 11:00:00,1572433200,KR,559.2549373879655,833.2498283385991,33920.47298499629,416.65134231812783,1674.122010037089,322.81127077599587,36514.13688635239,238.1517270872955,23250.0,3606.411286608849,1107.6162237385304,4380.830342872403,8859.486055376687,0.0,1386.7215619176775
2019-10-30 12:00:00,1572436800,KR,544.0694632241124,810.6245587265523,32999.42887487159,405.337989907405,1628.6645007135357,314.04596199738273,35522.66690507185,231.685182660076,23250.0,3508.486240702573,1077.5410712014714,4261.87746192222,8618.9240368681,0.0,1349.0678497317606
2019-10-30 13:00:00,1572440400,KR,504.3418085934255,751.4331968122086,30589.828627171635,375.740431580363,1509.7403096549497,291.11449761697037,32928.82119646917,214.76765734038054,23250.0,3252.2984943417136,998.8596115338142,3950.677500648508,7989.574917739589,0.0,1250.559653204971
2019-10-30 14:00:00,1572444000,KR,551.7388946199975,822.0514625710206,33464.60266786385,411.05180425625485,1651.6228387557335,318.4728856229447,36023.40931985998,234.95111418897469,23250.0,3557.9433345946295,1092.730542179784,4321.954674523323,8740.420005811828,0.0,1368.0848760882843
2019-10-30 15:00:00,1572447600,KR,573.213302528477,854.0467933355308,34767.089288242234,427.0504844330345,1715.906185273889,330.86827177451914,37425.48808126683,244.09572246989129,23250.0,3696.423197492393,1135.2610609190588,4490.170869806411,9080.608718854273,0.0,1421.3325498865504
2019-10-30 16:00:00,1572451200,KR,583.7971178547984,869.8159206408963,35409.02912257155,434.935548234447,1747.5886917721223,336.9774263777947,38116.51261367446,248.6027079797714,23250.0,3764.6739870634315,1156.2225308691288,4573.077423195929,9248.273155996612,0.0,1447.576046258552
2019-10-30 17:00:00,1572454800,KR,606.4986347866195,903.6395560205214,36785.94354982868,451.8484387070428,1815.5453723770295,350.081120309459,39598.7101614474,258.26986530531167,23250.0,3911.0669849839223,1201.1833649649336,4750.905972495196,9607.90122407005,0.0,1503.866444273861
2019-10-30 18:00:00,1572458400,KR,610.7935163683155,910.0386221734232,37046.44087390436,455.04817474239877,1828.4020416806602,352.5601975397739,39879.1259137288,260.098786961495,23250.0,3938.762957563475,1209.6894687127888,4784.549211551814,9675.93896667854,0.0,1514.5159790335142
2019-10-30 19:00:00,1572462000,KR,672.4531116627314,1001.9070059099407,40786.27846249786,500.9852803962176,2012.9791973057545,388.15114360363657,43904.923009866936,286.3557551689691,23250.0,4336.381012463638,1331.8076004117659,5267.549374691405,0.0,0.0,1667.4063418673927
2019-10-30 20:00:00,1572465600,KR,647.2149470184619,964.303946997955,39255.50881743182,482.18255828562866,1937.429096449694,373.58325433488517,42257.106000176704,275.60839811099004,23250.0,4173.630188570164,1281.8228819076462,5069.850418311296,0.0,0.0,1604.826103847684
2019-10-30 21:00:00,1572469200,KR,618.58910926758,921.6534976279855,37519.26673678644,460.85598085818265,1851.7380424585926,357.05994368777823,40388.10549925287,263.41844279019534,23250.0,3989.0336165030753,1225.1288052150546,4845.614689262721,0.0,0.0,1533.8458338790215
2019-10-30 22:00:00,1572472800,KR,590.1326551720292,879.2554177809152,35793.298277920054,439.65559619657984,1766.554036124244,340.63440410958924,38530.16417289077,251.30061738254125,23250.0,3805.5293318446643,1168.770196431887,4622.705798847569,0.0,0.0,1463.2855655078079
2019-10-30 23:00:00,1572476400,KR,565.2332578384215,842.1570979147278,34283.07587641194,421.1052596176771,1692.018030581688,326.2620569786738,36904.4655123239,240.69752015084384,23250.0,3644.9630827685523,1119.4564137466152,4427.660519734311,0.0,0.0,1401.545330682994
2019-10-31 00:00:00,1572480000,KR,557.2722260378805,830.2957303384644,33800.2156528005,415.17419962306195,1668.18679071434,321.6668167395376,36384.684307925,237.30741423322635,23250.0,3593.6255745605467,1103.689422003705,4365.299103963405,0.0,0.0,1381.8052556029525
2019-10-31 01:00:00,1572483600,KR,503.5776072980604,750.2945915794086,30543.477548868046,375.17109285086997,1507.45268352393,290.6733878925974,32878.92597187264,214.4422317675932,23250.0,3247.3704660086646,997.3460947164178,3944.691257168146,0.0,0.0,1248.66474921203
2019-10-31 02:00:00,1572487200,KR,470.2090271979198,700.5777955682602,28519.574058411607,350.3111179798235,1407.5642951437712,271.4124873157921,30700.268583221794,200.23263887885594,23250.0,3032.1898464985034,931.2589165599646,3683.3040463837106,0.0,0.0,1165.924434514831
2019-10-31 03:00:00,1572490800,KR,455.3032655288214,678.3692775531284,27615.49534186253,339.2061545856504,1362.944101349588,262.8086332510263,29727.061221794025,193.88520652246572,23250.0,2936.0685545345746,901.7377405306867,3566.542246642441,0.0,0.0,1128.9642939394328
2019-10-31 04:00:00,1572494400,KR,448.86668662625635,668.7792356829575,27225.097714261803,334.41082948362134,1343.6762903930094,259.09333263215035,29306.81258845022,191.14426982311545,23250.0,2894.561633004695,888.9899599725893,3516.1223785723478,0.0,0.0,1113.0042332364208
2019-10-31 05:00:00,1572498000,KR,455.4726491841521,678.6216470760278,27625.768963641498,339.3323473514932,1363.4511490063403,262.9064043199442,29738.1203963557,193.95733643560658,23250.0,2937.160841943255,902.0732084401102,3567.8690852758637,0.0,0.0,1129.384295536881
2019-10-31 06:00:00,1572501600,KR,480.5414301730902,715.9723364651134,29146.264986928563,358.00887669623876,1438.4942022056482,277.3765225197774,31374.87823148424,204.6325635804446,23250.0,3098.8193784280447,951.7224590348055,3764.241203022545,0.0,0.0,1191.5445319591413
2019-10-31 07:00:00,1572505200,KR,474.58441477739024,707.0968098956733,28784.95431036163,353.57083190682596,1420.661958051221,273.93803394978903,30985.940627091128,202.0958430082534,23250.0,3060.4049700405303,939.9244641379627,3717.5779157562297,7518.17055823792,0.0,1176.7735909416608
2019-10-31 08:00:00,1572508800,KR,521.5213349202089,777.0294614238171,31631.817923474322,388.5393757217867,1561.166986869474,301.03080653822985,34050.48420559464,222.08334396511358,23250.0,3363.082384659923,1032.8840265252334,4085.2504568749773,8261.72588817354,0.0,1293.1577922435822
2019-10-31 09:00:00,1572512400,KR,573.3666911563945,854.27533141242,34776.39276410207,427.16476072001143,1716.3653520347332,330.9568102470301,37435.50292956257,244.16104110046913,23250.0,3697.412339370234,1135.5648503386246,4491.37241405843,9083.038638233142,0.0,1421.7128904136803
2019-10-31 10:00:00,1572516000,KR,570.1455299701223,849.4760317977431,34581.0197710453,424.7649586934941,1706.722850057009,329.09750232429394,37225.19111535156,242.78934985833158,23250.0,3676.6403599355685,1129.1852725277326,4466.139984765966,9032.010331276775,0.0,1413.72573934394
2019-10-31 11:00:00,1572519600,KR,554.8066671783519,826.6222241088082,33650.67218506077,413.3373299957948,1660.806173972614,320.24365507316986,36223.706285775246,236.25748680053434,23250.0,3577.726172151454,1098.8063305711094,4345.985559563763,8789.018393389324,0.0,1375.6916866308943
2019-10-31 12:00:00,1572523200,KR,539.6211930144984,803.9969544967611,32729.62807493608,402.02397758507226,1615.3486646490612,311.4783462945565,35232.23630449471,229.79094237331472,23250.0,3479.8011262451796,1068.7311780340506,4227.032678613579,8548.456374880736,0.0,1338.0379744449774
2019-10-31 13:00:00,1572526800,KR,496.825765825458,740.2348310446301,30133.958310039205,370.1408935184901,1487.2411383735955,286.77611246391933,32438.093629976778,211.56704444205977,23250.0,3203.830542327497,983.973929975068,3891.8018322994267,7870.50886817473,0.0,1231.9229673755774
2019-10-31 14:00:00,1572530400,KR,541.1550792936755,806.2823352656545,32822.66283353452,403.1667404548421,1619.9403322575006,312.3637310196689,35332.38478745233,230.4441286790944,23250.0,3489.69254502359,1071.7690722297127,4239.0481211338,8572.755568669483,0.0,1341.8413797162823
2019-10-31 15:00:00,1572534000,KR,562.629487202155,838.277666030165,34125.14945391289,419.16542063162166,1684.2236787756558,324.75911717124313,36734.46354885917,239.58873696001095,23250.0,3628.172407921354,1114.2995909689873,4407.264316416888,8912.94428171192,0.0,1395.0890535145472
